ze2010,libelle_ze,txcho_2003,txcho_2004,txcho_2005,txcho_2006,txcho_2007,txcho_2008,txcho_2009,txcho_2010,txcho_2011,txcho_2012,txcho_2013,densite,fronta,tx_act,tx_act_f,part_emp_pub,part_emp_ind,part_ouv,part_cad,part_act_1530,part_act_5064,part_act_peudip,part_act_tredip,tx_cre_eta,tx_act_intra,var_emp,tx_immig,f_bel,f_lux,f_all,f_su,part_etu
5315,Lorient,8.5,8.6,8.5,8.6,8.1,7.5,9,8.8,8.4,9.1,9.7,157.51474066,0,70.544112303,67.837135814,31.56859026,20.280715065,26.029516317,11.567444487,20.558754285,25.122260769,15.979795711,29.392749407,37.528503771,81.176249111,102.69936318,3.094930776,0,0,0,0,53.96675904
5316,Ploërmel,5,5.2,5.4,5.8,5.2,5,6.7,6.9,7.2,7.5,8.1,53.102697639,0,74.465148232,71.343955371,32.902938557,29.145146928,33.166244396,7.3156928502,19.850293816,24.551567118,18.709125894,24.893967649,31.25,62.7272333,99.993093446,3.0509048156,0,0,0,0,49.932930221
5317,Pontivy,5,5.4,5.4,5.4,5.3,5,6.5,6.8,6.5,7.3,7.8,54.47044733,0,74.212112725,70.876703111,34.278689462,26.084967694,31.521556026,8.1982035304,20.058115849,27.29904692,17.145261251,26.309380866,24.829027356,70.969245503,99.937390993,3.6668804867,0,0,0,0,52.107000167
5318,Vannes,7.1,7.3,7.1,7.2,6.4,6,7.8,7.9,7.7,8.4,9,120.4540157,0,71.772316836,68.796722062,33.289379759,15.178854695,24.096658483,11.754043146,20.448402778,25.050573556,15.92359689,31.10831275,37.357786758,80.607994034,103.17901186,2.5783807154,0,0,0,0,53.57991491
5401,Thouars - Loudun,6.9,7.1,7,7.2,6.2,6,7.7,7.7,7.4,8.2,8.4,41.658877762,0,74.354068184,69.981576606,29.001375516,28.748280605,35.134170634,6.8785727153,20.657239808,26.836586455,25.390451313,18.971854625,26.602282704,71.254201434,99.411864985,2.22240866,0,0,0,0,43.005515062
5402,Châtellerault,8,8.3,8.9,8.8,7.4,7.6,10.1,9.7,9.3,9.9,10.1,75.395672806,0,73.113066733,69.787441881,27.818782368,33.703054276,29.709534501,9.6334626645,21.130682845,27.828588884,24.118266531,23.181062059,37.728161669,72.679742579,95.479221265,4.5929880951,0,0,0,0,44.773452978
5403,Angoulême,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.7,56.12193954,0,72.880430273,69.70349685,35.201589937,20.21231474,26.636479562,10.704360992,20.662292879,27.190831761,20.07597311,25.841292151,33.098918083,84.547884671,97.698940857,5.1470636196,0,0,0,0,47.303091223
5404,Jonzac - Barbezieux-Saint-Hilaire,8,8.1,8.3,8.2,7.3,6.6,7.9,8.5,8.6,9.2,9.4,36.39533862,0,72.427398281,69.548408711,35.813072308,16.905588885,31.751546242,6.1651403447,19.919795083,27.828695308,25.235410807,18.247202286,27.257778902,66.639425061,99.360115468,2.9202831277,0,0,0,0,39.52356271
5405,Cognac,7,7.3,7.4,7.3,6.6,6.4,8.5,8.3,8,8.5,8.9,69.28576907,0,74.926912265,71.474262911,22.6560967,29.912483811,31.901623662,7.9954391604,20.184660699,27.904613601,22.666674729,21.937303023,27.395715896,75.797192348,99.172957204,3.0722306968,0,0,0,0,42.503277795
5406,Saintes - Saint-Jean-d'Angély,8.1,8.5,8.8,8.9,8.2,7.6,9.4,9.8,9.7,10.2,10.5,64.153748255,0,72.708266913,70.496941934,35.885222713,10.764700788,24.146231888,9.9184943395,20.500540835,26.608759626,21.291510579,24.588902818,35.68489628,72.827148712,100.10490547,2.8548979827,0,0,0,0,44.861242764
5407,Royan,9.9,10.5,10.7,10.4,9.3,8.5,10.3,10.5,10.3,11,11.8,110.61905425,0,69.063383886,66.451581071,34.753883397,7.2574137583,20.644701687,8.8542983625,18.939775874,29.042586031,23.565787208,21.961568428,42.429317309,75.983929808,101.32770952,2.24641671,0,0,0,0,43.423391684
5408,Rochefort,10.1,10.7,10.9,10.8,9.5,8.7,11.1,11.1,10.6,11.3,12,116.8385444,0,72.159695485,68.661422758,34.951565247,13.150316041,23.044776094,9.0379841039,22.381823707,25.266492251,22.255499659,23.822039817,40.978108989,74.02645158,102.4685096,2.5430752877,0,0,0,0,40.792154725
5409,La Rochelle,9.4,9.7,9.6,9.3,8.4,7.9,9.7,9.5,9.1,9.8,10.6,185.18737859,0,71.392934484,69.092677479,34.694313541,13.393653786,20.329278888,14.32721288,21.893076935,25.846918263,18.811446684,32.611289939,45.190147115,84.415142122,102.39829584,4.3333768008,0,0,0,0,55.754344956
5410,Niort,6.3,6.3,6.2,6.3,5.7,5.4,6.8,7,6.7,7.3,7.6,69.965609962,0,75.391312155,73.175193032,31.142306151,11.524494089,23.285750131,13.595066227,21.493783382,25.16620277,18.977427769,30.853588126,33.367358512,86.102158337,102.01488991,3.7488635385,0,0,0,0,45.392307236
5411,Parthenay,6.5,6.6,6.5,6.8,5.6,5.7,7.6,7.6,7.2,8,8.5,56.308825062,0,74.087542069,71.051042873,34.764712426,19.646234286,29.380904011,8.1628934953,21.133031134,26.657797392,22.097314104,24.339624577,27.615780446,64.830227817,94.941440319,3.3795418721,0,0,0,0,41.997600153
5412,Bressuire,5.9,5.4,5.3,5.9,4.7,4.5,6.3,6.2,5.8,6.6,7.1,54.239408113,0,75.532094421,71.947916866,25.931282321,35.70426856,37.442859831,7.3140991538,22.407879275,23.990911521,22.159720609,22.269473747,23.838196696,72.903439191,96.672325976,4.5609352946,0,0,0,0,44.973557142
5413,Poitiers,6.3,6.7,6.9,7,6.3,5.9,7.2,7.4,7.3,7.6,7.9,60.007471269,0,71.675419879,69.136317746,40.64738172,11.245098893,20.029158387,14.797177805,24.376481504,24.364240199,17.369058836,34.332305543,35.896279594,84.154153397,101.41505295,5.1975566856,0,0,0,0,56.218889107
7201,Bergerac,8.3,8.7,8.9,9,8.2,7.9,9.7,10.1,10.6,11.5,11.9,57.020051328,0,70.697097969,68.152999891,36.384993237,13.953157258,24.197022258,8.5143310391,18.923651378,29.542128125,22.972999776,24.383344773,35.412621359,80.069875641,98.141758809,6.6013142745,0,0,0,0,44.597912404
7202,Périgueux,7.1,7.5,7.7,7.6,7,6.6,8.1,8.5,8.8,9.7,10.1,45.141752748,0,72.33160127,69.539167277,39.313632301,13.981301517,25.755026827,9.0861696746,20.485804163,27.505669451,22.385125638,23.939443123,33.710622131,83.001456834,98.493514052,5.653504975,0,0,0,0,45.295365356
7203,Sarlat-la-Canéda,8.4,8.7,8.6,8.6,8,7.4,9.2,9.2,9.4,10.1,10.3,36.789276851,0,72.877099554,69.884458183,34.863945578,14.471243043,23.024178805,8.1457799423,19.031971673,29.500517332,24.406866211,22.948990719,35.718924536,77.358970414,100.16477273,7.4355469876,0,0,0,0,42.254069166
7204,Bordeaux,8.7,9.1,9,8.6,7.7,7.1,8.4,8.8,8.9,9.5,9.9,178.97369798,0,72.999296182,70.10088912,31.806253411,10.895310485,18.700634939,18.271155521,22.958061455,23.925727201,17.421102005,37.986258253,45.525835763,87.938107135,105.08711091,7.8372136746,0,0,0,0,57.133037753
7205,Libourne,8.1,8.4,8.8,8.8,8.1,7.8,9.5,10,10.1,10.9,11.2,87.418943463,0,73.535324979,70.168061748,33.778968756,15.798462852,29.926654617,8.1403903264,21.12475094,25.686895709,25.959850292,21.93540281,34.953328705,66.939609553,99.777845334,5.1496321941,0,0,0,0,44.474772817
7206,Pauillac,9.1,9.7,10,9.6,8.8,8.2,9.5,10.2,10.4,10.7,10.9,34.743144346,0,71.268277462,68.317526487,28.91145668,6.7597588067,34.130963141,6.5373893273,21.018322954,25.038149063,29.356311642,17.459501909,38.887993554,73.618511443,109.82746179,5.642859994,0,0,0,0,39.454900414
7207,La Teste-de-Buch,8.6,9.1,9.7,9.5,8.2,7.7,9.2,9.5,9.7,10.3,11,41.8022909,0,72.546438798,68.972122282,31.41174259,14.593646218,22.263230132,11.562712457,19.041558105,26.02427347,19.932825935,27.030772522,47.083198446,68.811971004,106.95151544,4.7570648087,0,0,0,0,49.408147599
